Opening serial port 'COM25'
Connection opened.
-I- === Initialize eMMC access ===
Detected memory size is 3925868544 bytes.
Page size is 512 bytes.
Buffer is 88576 bytes (173 pages) at address 0x0022a440.
-I- === Load images on eMMC ===
Wrote 88576 bytes at address 0x01e28200 (2.95%)
Wrote 88576 bytes at address 0x01e3dc00 (2.96%)
Wrote 88576 bytes at address 0x01e53600 (2.97%)
Wrote 88576 bytes at address 0x01e69000 (2.98%)
Wrote 88576 bytes at address 0x01e7ea00 (2.99%)
Wrote 88576 bytes at address 0x01e94400 (2.99%)
Wrote 88576 bytes at address 0x01ea9e00 (3.00%)
Wrote 88576 bytes at address 0x01ebf800 (3.01%)
Wrote 88576 bytes at address 0x01ed5200 (3.02%)
Wrote 88576 bytes at address 0x01eeac00 (3.03%)
Wrote 88576 bytes at address 0x01f00600 (3.04%)
Wrote 88576 bytes at address 0x01f16000 (3.04%)
Wrote 88576 bytes at address 0x01f2ba00 (3.05%)
Wrote 88576 bytes at address 0x01f41400 (3.06%)
Wrote 88576 bytes at address 0x01f56e00 (3.07%)
Wrote 88576 bytes at address 0x01f6c800 (3.08%)
Wrote 88576 bytes at address 0x01f82200 (3.09%)
Wrote 88576 bytes at address 0x01f97c00 (3.09%)
Wrote 88576 bytes at address 0x01fad600 (3.10%)
Wrote 88576 bytes at address 0x01fc3000 (3.11%)
Wrote 88576 bytes at address 0x01fd8a00 (3.12%)
Wrote 88576 bytes at address 0x01fee400 (3.13%)
Wrote 88576 bytes at address 0x02003e00 (3.13%)
Wrote 88576 bytes at address 0x02019800 (3.14%)
Wrote 88576 bytes at address 0x0202f200 (3.15%)
Wrote 88576 bytes at address 0x02044c00 (3.16%)
Wrote 88576 bytes at address 0x0205a600 (3.17%)
Wrote 88576 bytes at address 0x02070000 (3.18%)
Wrote 88576 bytes at address 0x02085a00 (3.18%)
Wrote 88576 bytes at address 0x0209b400 (3.19%)
Wrote 88576 bytes at address 0x020b0e00 (3.20%)
Wrote 88576 bytes at address 0x020c6800 (3.21%)
Wrote 88576 bytes at address 0x020dc200 (3.22%)
Wrote 88576 bytes at address 0x020f1c00 (3.23%)
Wrote 88576 bytes at address 0x02107600 (3.23%)
Wrote 88576 bytes at address 0x0211d000 (3.24%)
Wrote 88576 bytes at address 0x02132a00 (3.25%)
Wrote 88576 bytes at address 0x02148400 (3.26%)
Wrote 88576 bytes at address 0x0215de00 (3.27%)
Wrote 88576 bytes at address 0x02173800 (3.27%)
Wrote 88576 bytes at address 0x02189200 (3.28%)
Wrote 88576 bytes at address 0x0219ec00 (3.29%)
Wrote 88576 bytes at address 0x021b4600 (3.30%)
Wrote 88576 bytes at address 0x021ca000 (3.31%)
Wrote 88576 bytes at address 0x021dfa00 (3.32%)
Wrote 88576 bytes at address 0x021f5400 (3.32%)
Wrote 88576 bytes at address 0x0220ae00 (3.33%)
Wrote 88576 bytes at address 0x02220800 (3.34%)
Wrote 88576 bytes at address 0x02236200 (3.35%)
Wrote 88576 bytes at address 0x0224bc00 (3.36%)
Wrote 88576 bytes at address 0x02261600 (3.37%)
Wrote 88576 bytes at address 0x02277000 (3.37%)
Wrote 88576 bytes at address 0x0228ca00 (3.38%)
Wrote 88576 bytes at address 0x022a2400 (3.39%)
Wrote 88576 bytes at address 0x022b7e00 (3.40%)
Wrote 88576 bytes at address 0x022cd800 (3.41%)
Wrote 88576 bytes at address 0x022e3200 (3.42%)
Wrote 88576 bytes at address 0x022f8c00 (3.42%)
Wrote 88576 bytes at address 0x0230e600 (3.43%)
Wrote 88576 bytes at address 0x02324000 (3.44%)
Wrote 88576 bytes at address 0x02339a00 (3.45%)
Wrote 88576 bytes at address 0x0234f400 (3.46%)
Wrote 88576 bytes at address 0x02364e00 (3.46%)
Wrote 88576 bytes at address 0x0237a800 (3.47%)
Wrote 88576 bytes at address 0x02390200 (3.48%)
Wrote 88576 bytes at address 0x023a5c00 (3.49%)
Wrote 88576 bytes at address 0x023bb600 (3.50%)
Wrote 88576 bytes at address 0x023d1000 (3.51%)
Wrote 88576 bytes at address 0x023e6a00 (3.51%)
Wrote 88576 bytes at address 0x023fc400 (3.52%)
Wrote 88576 bytes at address 0x02411e00 (3.53%)
Wrote 88576 bytes at address 0x02427800 (3.54%)
Wrote 88576 bytes at address 0x0243d200 (3.55%)
Wrote 88576 bytes at address 0x02452c00 (3.56%)
Wrote 88576 bytes at address 0x02468600 (3.56%)
Wrote 88576 bytes at address 0x0247e000 (3.57%)
Wrote 88576 bytes at address 0x02493a00 (3.58%)
Wrote 88576 bytes at address 0x024a9400 (3.59%)
Wrote 88576 bytes at address 0x024bee00 (3.60%)
Wrote 88576 bytes at address 0x024d4800 (3.60%)
Wrote 88576 bytes at address 0x024ea200 (3.61%)
Wrote 88576 bytes at address 0x024ffc00 (3.62%)
Wrote 88576 bytes at address 0x02515600 (3.63%)
Wrote 88576 bytes at address 0x0252b000 (3.64%)
Wrote 88576 bytes at address 0x02540a00 (3.65%)
Wrote 88576 bytes at address 0x02556400 (3.65%)
Wrote 88576 bytes at address 0x0256be00 (3.66%)
Wrote 88576 bytes at address 0x02581800 (3.67%)
Wrote 88576 bytes at address 0x02597200 (3.68%)
Wrote 88576 bytes at address 0x025acc00 (3.69%)
Wrote 88576 bytes at address 0x025c2600 (3.70%)
Wrote 88576 bytes at address 0x025d8000 (3.70%)
Wrote 88576 bytes at address 0x025eda00 (3.71%)
Wrote 88576 bytes at address 0x02603400 (3.72%)
Wrote 88576 bytes at address 0x02618e00 (3.73%)
Wrote 88576 bytes at address 0x0262e800 (3.74%)
Wrote 88576 bytes at address 0x02644200 (3.75%)
Wrote 88576 bytes at address 0x02659c00 (3.75%)
Wrote 88576 bytes at address 0x0266f600 (3.76%)
Wrote 88576 bytes at address 0x02685000 (3.77%)
